16/04/2020;14:50;7,0G;22G
16/04/2020;14:55;2,8G;23G
16/04/2020;15:10;1,6G;22G
16/04/2020;15:00;1,6G;23G
16/04/2020;15:05;1,8G;23G
16/04/2020;15:25;1,3G;22G
16/04/2020;15:15;1,4G;22G
16/04/2020;15:20;1,4G;22G
16/04/2020;15:30;698M;21G
16/04/2020;15:35;1,0G;22G
16/04/2020;15:40;972M;22G
16/04/2020;15:45;1,0G;22G
16/04/2020;15:50;1,0G;22G
16/04/2020;15:55;991M;22G
16/04/2020;16:00;824M;22G
16/04/2020;16:05;397M;21G
16/04/2020;16:10;289M;21G
16/04/2020;16:15;861M;22G
16/04/2020;16:20;1,0G;22G
16/04/2020;16:25;989M;22G
16/04/2020;16:30;3,6G;22G
16/04/2020;16:35;3,5G;22G
16/04/2020;16:40;3,3G;22G
16/04/2020;16:45;3,1G;22G
16/04/2020;16:50;3,1G;22G
16/04/2020;16:55;2,9G;22G
16/04/2020;17:00;3,0G;22G
16/04/2020;17:05;2,6G;22G
16/04/2020;17:10;2,6G;22G
16/04/2020;17:15;2,6G;22G
16/04/2020;17:20;2,6G;22G
16/04/2020;17:25;2,6G;22G
16/04/2020;17:30;2,6G;22G
16/04/2020;17:35;2,7G;22G
16/04/2020;17:40;2,6G;22G
16/04/2020;17:45;2,5G;22G
16/04/2020;17:50;2,5G;22G
16/04/2020;17:55;2,4G;22G
16/04/2020;18:00;2,4G;22G
16/04/2020;18:05;2,8G;22G
16/04/2020;18:10;3,3G;22G
16/04/2020;18:15;2,9G;22G
16/04/2020;18:20;2,9G;22G
16/04/2020;18:25;2,9G;22G
16/04/2020;18:30;2,8G;22G
16/04/2020;18:35;2,8G;22G
16/04/2020;18:40;2,4G;22G
16/04/2020;18:45;2,5G;22G
16/04/2020;18:50;2,8G;22G
16/04/2020;18:55;2,7G;22G
16/04/2020;19:00;2,7G;22G
16/04/2020;19:05;2,8G;22G
16/04/2020;19:15;2,8G;22G
16/04/2020;19:10;2,8G;22G
16/04/2020;19:20;3,4G;22G
16/04/2020;19:25;3,4G;22G
16/04/2020;19:30;3,4G;22G
16/04/2020;19:35;3,4G;22G
16/04/2020;19:50;3,4G;22G
16/04/2020;19:55;3,4G;22G
16/04/2020;20:00;3,4G;22G
16/04/2020;20:05;3,4G;22G
16/04/2020;20:10;3,4G;22G
16/04/2020;20:15;3,4G;22G
16/04/2020;20:20;3,4G;22G
16/04/2020;20:25;3,4G;22G
16/04/2020;20:30;3,4G;22G
16/04/2020;20:35;3,4G;22G
16/04/2020;20:40;3,4G;22G
16/04/2020;20:45;3,3G;22G
16/04/2020;20:50;3,4G;22G
16/04/2020;20:55;3,4G;22G
16/04/2020;21:00;3,4G;22G
16/04/2020;21:05;3,3G;22G
16/04/2020;21:10;3,3G;22G
16/04/2020;21:15;3,3G;22G
16/04/2020;21:20;3,3G;22G
16/04/2020;21:40;3,1G;22G
16/04/2020;21:30;3,3G;22G
16/04/2020;21:25;3,3G;22G
16/04/2020;21:35;3,3G;22G
16/04/2020;21:50;3,1G;22G
16/04/2020;21:45;3,1G;22G
16/04/2020;22:00;3,1G;22G
16/04/2020;19:45;3,4G;22G
16/04/2020;19:40;3,4G;22G
16/04/2020;22:05;3,1G;22G
16/04/2020;22:10;3,1G;22G
16/04/2020;22:20;3,1G;22G
16/04/2020;22:15;3,1G;22G
16/04/2020;22:25;3,1G;22G
16/04/2020;22:30;3,1G;22G
16/04/2020;22:35;3,1G;22G
16/04/2020;22:40;3,1G;22G
16/04/2020;22:55;3,1G;22G
16/04/2020;22:45;3,1G;22G
16/04/2020;22:50;3,1G;22G
16/04/2020;23:00;3,1G;22G
16/04/2020;23:15;3,1G;22G
16/04/2020;23:05;3,1G;22G
16/04/2020;23:10;3,1G;22G
16/04/2020;23:20;3,1G;22G
16/04/2020;23:25;3,1G;22G
16/04/2020;23:35;3,1G;22G
16/04/2020;23:30;3,1G;22G
16/04/2020;23:45;3,1G;22G
16/04/2020;23:40;3,1G;22G
16/04/2020;23:50;3,1G;22G
16/04/2020;23:55;3,1G;22G
17/04/2020;00:00;3,1G;22G
17/04/2020;00:10;3,1G;22G
17/04/2020;00:05;3,1G;22G
17/04/2020;00:20;3,1G;22G
17/04/2020;00:25;3,1G;22G
17/04/2020;00:15;3,1G;22G
17/04/2020;00:30;3,1G;22G
17/04/2020;00:35;3,1G;22G
17/04/2020;00:40;3,1G;22G
17/04/2020;00:45;3,1G;22G
17/04/2020;00:50;3,1G;22G
17/04/2020;00:55;3,1G;22G
17/04/2020;01:00;3,1G;22G
17/04/2020;01:15;3,1G;22G
17/04/2020;01:10;3,1G;22G
17/04/2020;01:05;3,1G;22G
17/04/2020;01:20;3,1G;22G
17/04/2020;01:25;3,1G;22G
17/04/2020;01:35;3,1G;22G
17/04/2020;01:30;3,1G;22G
17/04/2020;01:40;3,1G;22G
17/04/2020;01:45;3,1G;22G
17/04/2020;01:50;3,1G;22G
17/04/2020;01:55;3,1G;22G
17/04/2020;02:00;3,1G;22G
17/04/2020;02:05;3,1G;22G
16/04/2020;21:55;3,1G;22G
17/04/2020;02:10;3,1G;22G
17/04/2020;02:15;3,1G;22G
17/04/2020;02:25;3,1G;22G
17/04/2020;02:20;3,1G;22G
17/04/2020;02:30;3,1G;22G
17/04/2020;02:35;3,1G;22G
17/04/2020;02:40;3,1G;22G
17/04/2020;02:45;3,1G;22G
17/04/2020;02:50;3,1G;22G
17/04/2020;02:55;3,0G;22G
17/04/2020;03:00;3,1G;22G
17/04/2020;03:05;3,1G;22G
17/04/2020;03:10;3,1G;22G
17/04/2020;03:25;3,1G;22G
17/04/2020;03:15;3,1G;22G
17/04/2020;03:20;3,1G;22G
17/04/2020;03:30;3,1G;22G
17/04/2020;03:35;3,1G;22G
17/04/2020;03:45;3,1G;22G
17/04/2020;03:40;3,1G;22G
17/04/2020;03:50;3,1G;22G
17/04/2020;04:00;3,1G;22G
17/04/2020;03:55;3,1G;22G
17/04/2020;04:05;3,1G;22G
17/04/2020;04:15;3,1G;22G
17/04/2020;04:10;3,1G;22G
17/04/2020;04:20;3,1G;22G
17/04/2020;04:30;3,1G;22G
17/04/2020;04:25;3,1G;22G
17/04/2020;04:35;3,1G;22G
17/04/2020;04:40;3,1G;22G
17/04/2020;04:45;3,1G;22G
17/04/2020;04:50;3,1G;22G
17/04/2020;04:55;3,1G;22G
17/04/2020;05:00;3,1G;22G
17/04/2020;05:05;3,1G;22G
17/04/2020;05:15;3,1G;22G
17/04/2020;05:10;3,1G;22G
17/04/2020;05:25;3,1G;22G
17/04/2020;05:20;3,1G;22G
17/04/2020;05:30;3,1G;22G
17/04/2020;05:35;3,1G;22G
17/04/2020;05:40;3,1G;22G
17/04/2020;05:45;3,1G;22G
17/04/2020;05:50;3,1G;22G
17/04/2020;05:55;3,1G;22G
17/04/2020;06:00;3,1G;22G
17/04/2020;06:05;3,1G;22G
17/04/2020;06:10;3,1G;22G
17/04/2020;06:20;3,1G;22G
17/04/2020;06:30;3,1G;22G
17/04/2020;06:35;3,1G;22G
17/04/2020;06:40;3,1G;22G
17/04/2020;06:45;3,1G;22G
17/04/2020;06:50;3,1G;22G
17/04/2020;06:25;3,1G;22G
17/04/2020;06:15;3,1G;22G
17/04/2020;07:00;3,1G;23G
17/04/2020;07:05;3,1G;23G
17/04/2020;07:10;3,1G;23G
17/04/2020;07:15;3,1G;23G
17/04/2020;07:25;3,1G;23G
17/04/2020;07:20;3,1G;23G
17/04/2020;07:30;3,1G;23G
17/04/2020;06:55;3,1G;23G
17/04/2020;07:35;3,1G;23G
17/04/2020;07:40;3,1G;23G
17/04/2020;07:45;3,1G;23G
17/04/2020;07:50;3,1G;23G
17/04/2020;07:55;3,1G;23G
17/04/2020;08:05;3,1G;23G
17/04/2020;08:00;3,1G;23G
17/04/2020;08:10;3,1G;23G
17/04/2020;08:20;3,1G;23G
17/04/2020;08:15;3,1G;23G
17/04/2020;08:25;3,1G;23G
17/04/2020;08:30;3,1G;23G
17/04/2020;08:35;2,9G;23G
17/04/2020;08:40;2,9G;23G
17/04/2020;08:50;2,8G;23G
17/04/2020;08:55;3,0G;23G
17/04/2020;08:45;2,9G;23G
17/04/2020;09:00;2,5G;23G
17/04/2020;09:10;2,5G;23G
17/04/2020;09:15;2,5G;23G
17/04/2020;09:05;2,4G;23G
17/04/2020;09:20;2,8G;23G
17/04/2020;09:25;3,1G;23G
17/04/2020;09:30;3,0G;23G
17/04/2020;09:35;3,1G;23G
17/04/2020;09:40;3,1G;23G
17/04/2020;09:45;3,0G;23G
17/04/2020;09:50;3,2G;23G
17/04/2020;09:55;3,4G;23G
17/04/2020;10:15;3,0G;23G
17/04/2020;10:00;3,1G;23G
17/04/2020;10:05;3,2G;23G
17/04/2020;10:10;3,3G;23G
17/04/2020;10:20;3,1G;23G
17/04/2020;10:30;2,9G;23G
17/04/2020;10:25;2,9G;23G
17/04/2020;10:35;3,2G;23G
17/04/2020;10:40;3,1G;23G
17/04/2020;10:45;3,2G;23G
17/04/2020;10:50;3,2G;23G
17/04/2020;10:55;3,2G;23G
17/04/2020;11:05;2,9G;23G
17/04/2020;11:00;3,1G;23G
17/04/2020;11:10;2,9G;23G
17/04/2020;11:20;2,8G;23G
17/04/2020;11:15;2,6G;23G
17/04/2020;11:25;2,8G;23G
17/04/2020;11:30;3,0G;23G
17/04/2020;11:35;2,5G;23G
17/04/2020;11:45;2,1G;23G
17/04/2020;11:40;1,9G;23G
17/04/2020;11:55;2,1G;23G
17/04/2020;11:50;2,0G;23G
17/04/2020;12:00;2,0G;23G
17/04/2020;12:05;2,0G;23G
17/04/2020;12:10;2,0G;23G
17/04/2020;12:15;2,4G;23G
17/04/2020;12:20;2,4G;23G
17/04/2020;12:30;2,4G;23G
17/04/2020;12:35;2,4G;23G
17/04/2020;12:25;2,5G;23G
17/04/2020;12:45;2,2G;23G
17/04/2020;12:50;2,0G;23G
17/04/2020;12:55;2,3G;23G
17/04/2020;12:40;2,3G;23G
17/04/2020;13:00;2,1G;23G
17/04/2020;13:05;2,2G;23G
17/04/2020;13:10;2,0G;23G
17/04/2020;13:20;2,0G;23G
17/04/2020;13:15;2,0G;23G
17/04/2020;13:25;2,0G;23G
17/04/2020;13:30;2,0G;23G
17/04/2020;13:35;2,0G;23G
17/04/2020;13:40;2,0G;23G
17/04/2020;13:45;2,0G;23G
17/04/2020;13:55;2,3G;23G
17/04/2020;13:50;1,7G;23G
17/04/2020;14:00;2,0G;23G
17/04/2020;14:10;2,1G;23G
17/04/2020;14:05;2,0G;23G
17/04/2020;14:20;4,0G;23G
17/04/2020;14:15;4,1G;23G
17/04/2020;14:25;4,1G;23G
17/04/2020;14:30;3,9G;23G
17/04/2020;14:35;3,9G;23G
17/04/2020;14:40;4,0G;23G
17/04/2020;14:45;3,9G;23G
17/04/2020;14:50;3,9G;23G
17/04/2020;15:05;3,6G;23G
17/04/2020;14:55;3,9G;23G
17/04/2020;15:00;3,9G;23G
17/04/2020;15:10;3,5G;23G
17/04/2020;15:15;3,5G;23G
17/04/2020;15:30;3,1G;23G
17/04/2020;15:25;3,1G;23G
17/04/2020;15:35;3,0G;23G
17/04/2020;15:45;3,1G;23G
17/04/2020;15:40;3,1G;23G
17/04/2020;15:20;3,2G;23G
17/04/2020;15:50;3,1G;23G
17/04/2020;15:55;3,2G;23G
17/04/2020;16:10;3,1G;23G
17/04/2020;16:00;3,3G;23G
17/04/2020;16:15;3,2G;23G
17/04/2020;16:20;3,2G;23G
17/04/2020;16:25;2,8G;23G
17/04/2020;16:05;3,1G;23G
17/04/2020;16:30;3,0G;23G
17/04/2020;16:45;3,0G;23G
17/04/2020;16:40;2,9G;23G
17/04/2020;16:35;2,9G;23G
17/04/2020;16:50;3,0G;23G
17/04/2020;16:55;2,2G;23G
17/04/2020;17:05;1,5G;22G
17/04/2020;17:00;1,5G;22G
17/04/2020;17:10;1,5G;22G
17/04/2020;17:15;1,4G;22G
17/04/2020;17:20;1,3G;22G
17/04/2020;17:25;1,2G;22G
17/04/2020;17:30;1,2G;22G
17/04/2020;17:35;1,3G;22G
17/04/2020;17:40;1,3G;22G
17/04/2020;17:45;1,4G;22G
17/04/2020;17:50;2,8G;22G
17/04/2020;17:55;2,9G;22G
17/04/2020;18:05;3,0G;22G
17/04/2020;18:00;2,9G;22G
17/04/2020;18:10;3,0G;22G
17/04/2020;18:25;3,0G;22G
17/04/2020;18:15;3,0G;22G
17/04/2020;18:20;3,0G;22G
17/04/2020;18:30;3,0G;22G
17/04/2020;18:35;3,1G;22G
17/04/2020;18:40;3,0G;23G
17/04/2020;18:45;3,0G;23G
17/04/2020;18:55;3,2G;22G
17/04/2020;18:50;3,0G;22G
17/04/2020;19:05;2,9G;22G
17/04/2020;19:10;2,7G;22G
17/04/2020;19:00;3,1G;22G
17/04/2020;19:15;2,6G;22G
17/04/2020;19:20;2,4G;22G
17/04/2020;19:25;1,6G;22G
17/04/2020;19:30;1,7G;22G
17/04/2020;19:35;1,6G;22G
17/04/2020;19:45;2,3G;22G
17/04/2020;19:40;2,4G;22G
17/04/2020;20:00;2,4G;22G
17/04/2020;19:55;2,2G;22G
17/04/2020;19:50;2,2G;22G
17/04/2020;20:05;2,4G;22G
17/04/2020;20:10;2,4G;22G
17/04/2020;20:15;2,4G;22G
17/04/2020;20:25;2,4G;22G
17/04/2020;20:20;2,4G;22G
17/04/2020;20:30;2,3G;22G
17/04/2020;20:35;2,3G;22G
17/04/2020;20:50;2,1G;22G
17/04/2020;20:45;2,3G;22G
17/04/2020;20:40;2,3G;22G
17/04/2020;20:55;2,2G;22G
17/04/2020;21:00;2,0G;22G
17/04/2020;21:10;2,1G;22G
17/04/2020;21:20;2,2G;22G
17/04/2020;21:15;2,4G;22G
17/04/2020;21:05;2,2G;22G
17/04/2020;21:25;2,0G;22G
17/04/2020;21:30;2,2G;22G
17/04/2020;21:35;2,0G;22G
17/04/2020;21:45;2,3G;22G
17/04/2020;21:40;2,2G;22G
17/04/2020;21:50;2,6G;22G
17/04/2020;21:55;2,6G;22G
17/04/2020;22:05;2,6G;22G
17/04/2020;22:10;2,5G;22G
17/04/2020;22:00;2,6G;22G
17/04/2020;22:15;2,5G;22G
17/04/2020;22:25;2,3G;22G
17/04/2020;22:20;2,5G;22G
17/04/2020;22:30;1,5G;22G
17/04/2020;22:45;1,7G;22G
17/04/2020;22:35;1,7G;22G
17/04/2020;22:40;1,7G;22G
17/04/2020;22:50;1,7G;22G
17/04/2020;22:55;1,7G;22G
17/04/2020;23:00;1,8G;22G
17/04/2020;23:10;1,9G;22G
17/04/2020;23:15;1,9G;22G
17/04/2020;23:05;1,9G;22G
17/04/2020;23:20;1,9G;22G
17/04/2020;23:30;1,9G;22G
17/04/2020;23:35;1,9G;22G
17/04/2020;23:25;1,9G;22G
17/04/2020;23:45;1,9G;22G
17/04/2020;23:40;1,9G;22G
17/04/2020;23:50;1,9G;22G
17/04/2020;23:55;1,9G;22G
